x,y
1436.0,1051
875.0,367
1436.5,1051
875.5,367
1436.0,1051
876.0,366
1436.0,1051
876.0,365
1435.5,1051
875.0,365
1436.0,1051
876.0,366
1436.0,1051
875.5,365
1435.5,1051
875.5,366
1436.0,1050
873.5,366
1436.0,1050
872.5,366
1435.5,1050
871.5,366
1435.5,1050
874.0,366
1435.5,1051
877.0,366
1435.0,1050
876.5,366
1435.5,1050
876.5,366
1435.0,1050
876.0,366
1435.5,1050
873.0,367
1435.0,1049
864.5,367
1435.5,1049
862.5,367
1433.0,1048
862.5,367
1433.0,1048
863.5,368
1432.5,1047
862.5,368
1433.5,1046
863.0,369
1433.5,1046
862.5,369
1434.0,1046
862.5,369
1435.0,1046
861.5,369
1434.5,1045
861.0,370
1434.5,1047
861.5,370
1437.0,1047
861.5,370
1438.5,1045
861.0,370
1438.0,1045
860.5,369
1436.0,1046
860.0,369
1436.0,1045
860.5,369
1436.5,1044
861.0,369
1434.0,1040
859.5,368
1432.5,1037
862.0,368
1433.0,1036
866.0,369
1431.5,1030
860.0,367
1425.5,1024
859.0,365
1421.5,1020
857.5,364
1418.5,1015
855.5,363
1413.5,1010
853.0,361
1409.0,1007
851.5,361
1406.5,1005
847.5,361
1404.5,1004
845.5,361
1404.0,1004
846.0,362
1407.5,1003
848.0,365
1404.5,999
844.5,368
1403.5,997
843.0,369
1402.5,994
847.0,369
1401.0,990
847.0,368
1399.0,987
845.0,367
1394.0,985
840.5,367
1394.0,983
844.0,367
1393.5,985
846.0,366
1391.0,984
847.0,364
1386.5,982
842.5,366
1385.5,982
843.0,371
1358.0,981
844.0,376
1342.0,981
846.0,377
1333.5,982
846.5,376
1317.0,981
848.5,377
1302.0,979
850.0,376
1294.5,979
850.0,376
1277.5,982
851.0,375
1262.0,977
854.0,375
1257.0,976
854.5,374
1245.5,977
858.5,371
1240.0,978
865.0,371
1238.5,979
868.0,371
1234.5,984
871.5,369
1229.0,989
872.5,366
1225.0,989
873.0,366
1214.0,991
873.0,367
1198.5,989
873.0,367
1188.0,987
873.5,366
1172.0,986
871.0,365
1157.0,979
867.0,365
1140.0,977
864.0,365
864.5,365
1119.5,980
1106.5,984
858.5,364
1102.5,984
856.5,363
1097.0,987
845.0,362
1092.5,990
843.5,363
1088.5,990
842.5,362
1078.0,987
839.5,362
1067.0,985
837.5,362
1060.5,983
835.0,361
1048.5,980
832.5,361
1026.5,978
830.0,360
1019.5,977
828.0,361
1012.0,979
824.5,361
1009.0,980
821.0,359
1008.0,980
819.5,364
1007.0,980
817.5,360
1007.5,979
817.0,360
1007.5,979
817.5,360
1007.5,979
822.0,361
1008.5,978
821.0,360
1008.5,978
817.5,358
1007.5,979
813.0,355
1005.5,980
820.5,354
1006.5,981
820.5,353
1009.0,986
822.0,353
1008.5,990
821.5,353
1007.5,992
819.5,351
1005.0,996
818.5,351
1002.0,995
819.5,353
1002.0,994
818.5,353
1004.5,993
818.5,352
1007.0,989
819.0,351
1009.0,990
818.5,353
1011.5,990
817.5,352
1016.5,989
818.0,357
1019.0,989
818.5,358
1026.0,988
821.0,356
1026.5,989
823.5,357
1025.0,989
825.0,357
1025.5,991
829.0,356
1025.5,994
834.0,356
1027.0,996
835.5,356
1025.5,1001
841.0,357
1022.5,1008
844.5,357
1021.5,1012
846.0,357
1023.0,1017
850.5,356
1020.0,1017
854.5,354
1011.5,1015
857.0,354
1000.5,1017
861.5,355
1005.5,1018
864.5,356
1004.5,1018
865.5,355
990.5,1020
866.5,355
984.5,1021
866.0,355
978.5,1021
866.0,355
979.0,1021
868.0,356
969.5,1018
871.0,355
967.5,1019
874.5,353
964.5,1025
881.0,353
936.5,1029
883.5,352
939.5,1026
886.0,352
907.0,1026
891.5,350
899.0,1031
895.0,350
897.0,1036
898.0,350
889.5,1041
901.0,350
877.0,1046
903.0,349
871.0,1051
903.5,350
865.5,1063
903.5,350
863.5,1072
904.0,351
864.5,1074
906.5,350
863.5,1078
906.5,349
859.0,1078
907.5,348
856.0,1078
909.5,348
843.5,1078
914.5,348
823.0,1078
920.5,349
815.0,1078
922.5,349
805.0,1077
925.0,348
794.5,1077
928.0,349
793.0,1076
929.0,349
789.0,1076
929.5,349
779.5,1073
929.5,349
774.0,1073
929.5,350
764.5,1072
928.5,350
751.5,1076
928.5,351
745.5,1078
927.5,349
736.5,1080
926.0,349
728.5,1080
923.0,349
725.0,1080
922.5,349
722.0,1080
922.0,349
714.0,1080
922.5,349
713.5,1080
921.5,349
713.5,1080
921.0,349
715.5,1080
920.0,349
715.5,1080
917.0,349
717.0,1080
915.5,348
720.0,1080
914.0,349
721.5,1080
912.5,348
725.5,1080
912.0,347
731.5,1080
909.5,347
733.0,1080
909.0,351
735.0,1080
907.0,344
738.0,1080
906.0,343
741.0,1080
905.0,343
745.5,1080
903.0,342
752.5,1080
903.5,341
755.5,1080
903.5,340
763.0,1080
904.0,340
770.5,1080
908.0,341
773.0,1080
906.0,341
783.0,1080
906.5,340
789.5,1080
906.0,340
793.0,1080
905.5,344
799.5,1080
905.0,340
810.5,1080
904.5,339
812.5,1080
901.5,339
817.0,1080
901.0,338
825.0,1080
897.5,336
829.5,1080
896.5,335
836.0,1080
895.5,333
844.5,1080
892.5,331
848.5,1080
889.5,328
860.5,1080
891.0,328
866.5,1080
886.5,326
869.0,1080
885.5,327
870.5,1080
885.5,326
874.5,1078
884.5,326
876.0,1078
884.0,326
879.0,1077
884.0,326
881.5,1075
881.5,326
882.5,1073
881.0,326
885.5,1072
879.5,325
888.0,1065
878.5,325
889.0,1058
878.5,325
892.0,1055
873.5,323
893.5,1051
872.5,321
895.5,1050
871.5,320
900.0,1043
868.5,320
907.5,1042
865.0,320
907.5,1042
862.5,320
914.0,1039
860.0,319
919.0,1035
858.5,319
923.5,1031
856.0,319
930.0,1029
851.5,317
929.5,1025
846.5,316
929.0,1025
845.5,316
929.0,1026
844.0,317
930.5,1028
840.0,317
930.0,1027
838.5,316
930.0,1027
837.0,318
929.5,1026
832.0,317
929.5,1026
832.0,315
929.5,1026
